kingdom	phylum	class	order	family	genus	species	status	query
Animalia	Chordata	Amphibia	Anura	Ranidae	Hylarana	Hylarana_signata	col_synonym	Pulchrana_signata
Animalia	Chordata	Amphibia	Anura	Ranidae	Hylarana	Hylarana_similis	col_synonym	Pulchrana_similis
Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Notiochelidon	Notiochelidon_cyanoleuca	col_synonym	Pygochelidon_cyanoleuca
Animalia	Chordata	Reptilia	Squamata	Scincidae	Pygomeles	Pygomeles_braconnieri	col_synonym	Pygomeles_braconnieri
Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pyrrhura	Pyrrhura_picta	col_synonym	Pyrrhura_amazonum
Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pyrrhura	Pyrrhura_leucotis	col_synonym	Pyrrhura_emma
Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pyrrhura	Pyrrhura_leucotis	col_synonym	Pyrrhura_griseipectus
Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pyrrhura	Pyrrhura_picta	col_synonym	Pyrrhura_roseifrons
Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python	Python_bivittatus	col_synonym	Python_bivittatus
Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python	Python_brongersmai	col_synonym	Python_brongersmai
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pythonodipsas	Pythonodipsas_carinata	col_synonym	Pythonodipsas_carinata
Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Quasipaa	Quasipaa_boulengeri	col_synonym	Quasipaa_robertingeri
Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos_vitellinus	col_synonym	Ramphastos_ariel
Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos_vitellinus	col_synonym	Ramphastos_citreolaemus
Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos_vitellinus	col_synonym	Ramphastos_culminatus
Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos_tucanus	col_synonym	Ramphastos_cuvieri
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_areolatus	col_synonym	Rana_areolata
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_berlandieri	col_synonym	Rana_berlandieri
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_blairi	col_synonym	Rana_blairi
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_brownorum	col_synonym	Rana_brownorum
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_bwana	col_synonym	Rana_bwana
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_capito	col_synonym	Rana_capito
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_catesbeianus	col_synonym	Rana_catesbeiana
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_chiricahuensis	col_synonym	Rana_chiricahuensis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_clamitans	col_synonym	Rana_clamitans
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_dunni	col_synonym	Rana_dunni
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_forreri	col_synonym	Rana_forreri
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_grylio	col_synonym	Rana_grylio
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_heckscheri	col_synonym	Rana_heckscheri
