Bos,taurus
Parus,dichrous
Parus,major
Parus,monticolus
Parus,spilonotus
Parus,venustulus
Sylviparus,modestus
Passer,montanus
Passer,rutilans
Prunella,immaculata
Prunella,strophiata
Phylloscopus,affinis
Phylloscopus,armandii
Phylloscopus,coronatus
Phylloscopus,davisoni
Phylloscopus,fuscatus
Phylloscopus,inornatus
Phylloscopus,maculipennis
Phylloscopus,magnirostris
Phylloscopus,proregulus
Phylloscopus,pulcher
Phylloscopus,reguloides
Phylloscopus,schwarzi
Phylloscopus,subaffinis
Phylloscopus,trochiloides
Seicercus,poliogenys
Seicercus,tephrocephalus
Pitta,nympha
Pitta,sordida
Alophoixus,pallidus
Hemixos,castanonotus
Hemixos,flavala
Hypsipetes,leucocephalus
Ixos,mcclellandii
Pycnonotus,aurigaster
Pycnonotus,flavescens
Pycnonotus,jocosus
Pycnonotus,melanicterus
Pycnonotus,xanthorrhous
Spizixos,canifrons
Spizixos,semitorques
Regulus,regulus
Cephalopyrus,flammiceps
Rhipidura,albicollis
Rhipidura,aureola
Sitta,frontalis
Sitta,himalayensis
Sitta,magna
Sitta,nagaensis
Sitta,yunnanensis
Culicicapa,ceylonensis
Sturnus,sturninus
Abroscopus,albogularis
Abroscopus,schisticeps
Abroscopus,superciliaris
Chrysomma,sinense
Seicercus,castaniceps
Urosphena,squameiceps
Alcippe,castaneceps
Alcippe,dubia
Alcippe,morrisonia
Alcippe,poioicephala
Alcippe,ruficapilla
Heterophasia,melanoleuca
Napothera,brevicaudata
Napothera,crispifrons
Pellorneum,albiventre
Pellorneum,ruficeps
Pnoepyga,pusilla
Pomatorhinus,erythrocnemis
Pomatorhinus,ferruginosus
Pomatorhinus,ruficollis
Pteruthius,aenobarbus
Pteruthius,flaviscapis
Pteruthius,melanotis
Pteruthius,rufiventer
Pteruthius,xanthochlorus
Spelaeornis,troglodytoides
Stachyris,nigriceps
Yuhina,castaniceps
Yuhina,diademata
Yuhina,flavicollis
Yuhina,gularis
Yuhina,nigrimenta
Yuhina,occipitalis
Troglodytes,troglodytes
Zosterops,erythropleurus
Zosterops,japonicus
Zosterops,palpebrosus
Ardea,cinerea
Ardea,purpurea
Ardeola,bacchus
Bubulcus,ibis
Butorides,striatus
Dupetor,flavicollis
Egretta,garzetta
Gorsachius,magnificus
Ixobrychus,cinnamomeus
Ixobrychus,eurhythmus
Ixobrychus,sinensis
Nycticorax,nycticorax
Phalacrocorax,carbo
Megalaima,asiatica
Megalaima,franklinii
Megalaima,virens
Blythipicus,pyrrhotis
Dendrocopos,atratus
Dendrocopos,canicapillus
Dendrocopos,cathpharius
Dendrocopos,darjellensis
Dendrocopos,major
Jynx,torquilla
Picumnus,innominatus
Picus,canus
Picus,flavinucha
Tachybaptus,ruficollis
Psittacula,alexandri
Psittacula,derbiana
Psittacula,finschii
Bubo,bubo
Glaucidium,brodiei
Glaucidium,cuculoides
Ketupa,zeylonensis
Otus,bakkamoena
Otus,spilocephalus
Otus,sunia
Strix,aluco
Strix,leptogrammica
Tyto,capensis
Harpactes,erythrocephalus
Rallus,aquaticus
Turnix,suscitator
Turnix,tanki
Tylototriton,verrucosus
Cynops,cyanurus
Brachytarsophrys,carinensis
Megophrys,minor
Megophrys,omeimontis
Leptolalax,oshanensis
Leptolalax,pelodytoides
Leptobrachium,ailaonicum
Oreolalax,jingdongensis
Bufo,ailaoanus
Bufo,pageoti
Duttaphrynus,melanostictus
Hyla,annectans
Odorrana,andersonii
Rana,japonica
Amolops,mantzorum
Fejervarya,limnocharis
Nanorana,maculosa
Nanorana,unculuanus
Nanorana,yunnanensis
Polypedates,leucomystax
Calluella,yunnanensis
Microhyla,ornata
Calotes,emma
Pseudocalotes,kakhienensis
Japalura,yunnanensis
Hemidactylus,bowringii
Hemidactylus,garnotii
Hemiphyllodactylus,yunnanensis
Scincella,modesta
Sphenomorphus,indicus
Eutropis,multifasciata
Ophisaurus,gracilis
Typhlops,diardii
Python,bivittatus
Plagiopholis,blakewayi
Dendrelaphis,subocularis
Lycodon,septentrionalis
Gonyosoma,prasinum
Coelognathus,radiatus
Orthriophis,taeniurus
Amphiesma,modestum
Rhabdophis,nuchalis
Rhabdophis,ubminiatus
Hebius,octolineatum
Xenochrophis,piscator
Archelaphe,bella
Cyclophiops,multicinctus
Opisthotropis,praemaxillaris
Pseudoxenodon,macrops
Ptyas,korros
Rhabdophis,leonardi
Sibynophis,collaris
Ptyas,nigromarginata
Bungarus,multicinctus
Sinomicrurus,macclellandi
Naja,naja
Ophiophagus,hannah
Trimeresurus,jerdonii
Trimeresurus,stejnegeri
Ovophis,monticola
Miniopterus,schreibersii
Chroicocephalus,brunnicephalus
Iduna,aedon
Horornis,fortipes
Urocissa,erythroryncha
Dicaeum,melanozanthum
Chloris,ambigua
Procarduelis,nipalensis
Carpodacus,sipahi
Emberiza,lathami
Trochalopteron,affine
Trochalopteron,elliotii
Trochalopteron,erythrocephalum
Trochalopteron,milnei
Trochalopteron,squamatum
Trochalopteron,subunicolor
Locustella,luteoventris
Locustella,mandelli
Locustella,tacsanowskia
Locustella,thoracica
Brachypteryx,leucophris
Anthipes,monileger
Sinosuthora,brunnea
Psittiparus,gularis
Suthora,nipalensis
Cholornis,unicolor
Sinosuthora,webbiana
Saxicola,torquatus
Geokichla,citrina
Geokichla,sibirica
Tephrodornis,virgatus
Chelidorhynx,hypoxantha
Sturnia,malabarica
Lioparus,chrysotis
Fulvetta,cinereiceps
Fulvetta,vinipectus
Macronus,gularis
Stachyridopsis,ruficeps
Pomatorhinus,superciliaris
Erpornis,zantholeuca
Hypopicus,hyperythrus
Bombina,maxima
